AAVE.USD,ADA.USD,ALGO.USD,APE.USD,APT.USD,ATOM.USD,AVAX.USD,AXS.USD,BCH.USD,BNB.USD,BTC.USD,CHZ.USD,CRV.USD,DASH.USD,DOGE.USD,DOT.USD,EGLD.USD,EOS.USD,ETC.USD,ETH.USD,FIL.USD,FLOW.USD,FTM.USD,GRT.USD,HBAR.USD,ICP.USD,IMX.USD,LDO.USD,LINK.USD,LRC.USD,LTC.USD,MANA.USD,MASK.USD,MATIC.USD,MKR.USD,NEAR.USD,NEO.USD,OP.USD,PAXG.USD,QNT.USD,SAND.USD,SNX.USD,SOL.USD,THETA.USD,TRX.USD,UNI.USD,VET.USD,XLM.USD,XTZ.USD,ZIL.USD
78.18,0.3536,0.246,5.0629,12.5111,12.39,17.26,9.63,132.87,302.271,23260.42,0.1311,1.003,71.83,0.0812,6.4,48.396,1.1535,20.8418,1614.03,6.47,1.17,0.4329,0.1534,0.0693,5.85,1.073,3.08,7.2295,0.3491,94.67,0.6327,3.905,1.2093,810.83,2.246,12.647,2.727,1808.78,127.2,0.6866,2.82,22.2284,1.136,0.0691,6.5372,0.0269,0.0872,1.1393,0.0312
78.18,0.3532,0.246,5.0629,12.5244,12.39,17.24,9.63,132.88,302.1273,23247.69,0.1311,1.003,71.83,0.0812,6.4,48.396,1.1535,20.8418,1614.42,6.48,1.17,0.4317,0.1539,0.0692,5.83,1.073,3.075,7.2167,0.3491,94.78,0.6327,3.905,1.209,812.1299,2.244,12.601,2.727,1808.78,127.2,0.6888,2.82,22.2423,1.136,0.0692,6.5372,0.0269,0.0872,1.1393,0.0312
78.18,0.3533,0.246,5.0629,12.4497,12.389,17.27,9.63,132.88,302.1031,23238.5,0.1311,1.003,71.83,0.0812,6.43,48.479,1.1535,20.8418,1614.18,6.48,1.17,0.4319,0.1541,0.0694,5.85,1.084,3.075,7.2212,0.3491,94.83,0.6318,3.905,1.2103,812.411,2.246,12.763,2.733,1808.78,127.2,0.6908,2.809,22.2668,1.136,0.0691,6.5405,0.0271,0.0872,1.1393,0.0312
78.07,0.3531,0.246,5.0629,12.4297,12.388,17.29,9.63,132.88,301.8956,23247.71,0.1311,1.003,71.83,0.0812,6.42,48.479,1.1535,20.8418,1614.24,6.46,1.17,0.4317,0.1542,0.0694,5.85,1.076,3.062,7.2154,0.3516,94.66,0.6318,3.905,1.21,812.411,2.249,12.943,2.725,1808.91,127.2,0.6908,2.809,22.2514,1.133,0.069,6.5405,0.027,0.0873,1.1393,0.0312
78.18,0.3535,0.246,5.0629,12.4297,12.392,17.3,9.63,132.88,302.3425,23263.2,0.1311,1.003,71.83,0.0813,6.42,48.652,1.1546,20.8418,1615.42,6.53,1.17,0.4332,0.1545,0.0694,5.87,1.079,3.062,7.2365,0.3516,94.85,0.6318,3.905,1.2122,821.1724,2.251,12.873,2.728,1808.91,127.2,0.6908,2.802,22.3045,1.133,0.069,6.5405,0.0271,0.0873,1.1454,0.0312
78.18,0.3538,0.246,5.0629,12.4297,12.391,17.3,9.63,132.88,302.4852,23283.99,0.1311,1.003,72.0,0.0813,6.42,48.655,1.1546,20.8418,1615.97,6.51,1.17,0.433,0.1547,0.0694,5.87,1.079,3.084,7.2342,0.3516,94.82,0.6318,3.905,1.2132,819.0989,2.254,12.962,2.734,1808.91,127.2,0.6907,2.802,22.3018,1.138,0.0691,6.5532,0.0272,0.0873,1.1454,0.0312
78.18,0.3536,0.246,5.0629,12.4647,12.384,17.3,9.63,132.79,302.4616,23247.71,0.1311,1.009,72.0,0.0813,6.42,48.655,1.1546,20.8418,1614.51,6.51,1.17,0.4335,0.1547,0.0693,5.87,1.078,3.084,7.2282,0.3516,94.69,0.6318,3.905,1.2117,814.4098,2.252,12.968,2.725,1808.91,127.0,0.6907,2.821,22.3086,1.136,0.0691,6.5659,0.0272,0.0873,1.1454,0.0312
78.36,0.3537,0.245,5.0629,12.5093,12.381,17.3,9.63,132.79,302.1964,23251.37,0.1311,1.013,72.0,0.0812,6.42,48.655,1.1547,20.8418,1614.44,6.51,1.17,0.4329,0.1547,0.0692,5.87,1.086,3.057,7.2282,0.3516,94.69,0.6318,3.905,1.2125,817.5502,2.255,12.878,2.725,1808.91,127.0,0.6907,2.821,22.3294,1.136,0.069,6.5687,0.0273,0.0873,1.148,0.0312
78.58,0.3542,0.246,5.0639,12.6544,12.408,17.32,9.68,132.79,302.2921,23269.77,0.1311,1.016,72.0,0.0812,6.43,48.656,1.1515,20.9289,1617.04,6.49,1.17,0.4342,0.1547,0.0692,5.87,1.091,3.067,7.2282,0.3516,94.84,0.6318,3.905,1.2144,817.5502,2.261,12.795,2.73,1808.91,127.0,0.6907,2.83,22.3573,1.137,0.069,6.5755,0.0273,0.0874,1.148,0.0312
78.7,0.354,0.246,5.0639,12.5716,12.415,17.33,9.68,132.81,302.3081,23279.98,0.1311,1.012,72.0,0.0814,6.43,48.68,1.1515,20.9371,1615.55,6.49,1.17,0.4332,0.1549,0.0694,5.87,1.088,3.067,7.2364,0.3516,94.97,0.6318,3.955,1.2132,819.0299,2.259,12.884,2.735,1808.91,127.0,0.6907,2.83,22.3731,1.137,0.0691,6.5755,0.0273,0.0871,1.1494,0.0312
